單字,KK 音標,詞性,中文意思,實用造句與用法說明
night,[naɪt],名詞,夜晚,The sky was full of bright stars last night.（昨晚的天空布滿了明亮的星星。）
no,[no],形容詞 / 副詞,沒有 / 不,There is no water left in the glass bottle.（玻璃瓶裡沒有留下一點水。）
noise,[nɔɪz],名詞,噪音 / 聲音,A loud noise came from the broken engine.（壞掉的引擎傳出一聲巨響。）
normal,[ˈnɔrml],形容詞,正常的 / 正規的,His body temperature is completely normal today.（他今天的體溫完全正常。）
north,[nɔrθ],名詞 / 形容詞 / 副詞,北方 / 向北的,The cold wind blows from the north in winter.（冬天冷風從北方吹來。）
nose,[noz],名詞,鼻子,The brown dog has a very keen nose for smell.（那隻棕色狗的鼻子對氣味非常靈敏。）
not,[nɑt],副詞,不 / 不是,This book is not mine; it belongs to my brother.（這本書不是我的，它是我兄弟的。）
note,[not],名詞,筆記 / 便條 / 音符,He wrote a short note to remind himself of the meeting.（他寫了一張短便條來提醒自己開會。）
now,[naʊ],副詞,現在,Please come here now; we need your help.（請現在過來，我們需要你的幫助。）
number,[ˈnʌmbɚ],名詞,數字 / 數量,A large number of students visited the library.（大批學生參觀了圖書館。）
nut,[nʌt],名詞,堅果 / 螺帽,An ant was carrying a small piece of nut.（一隻螞蟻正搬著一小塊堅果。）
observation,[ˌɑbzɚˈveʃən],名詞,觀察 / 觀測,The scientist made a careful observation of the liquid.（科學家對該液體進行了仔細的觀察。）
of,[ʌv],介系詞,...的 / 關於,The cover of the book is bright red.（這本書的封面是鮮紅色的。）
off,[ɔf],介系詞 / 副詞,離開 / 關掉,Please turn off the electric stove before leaving.（離開前請關閉電爐。）
offer,[ˈɔfɚ],名詞 / 動詞的動作,提供 / 提議,Thank you for your kind offer of help.（謝謝你熱心提供幫助。）
office,[ˈɔfɪs],名詞,辦公室,His office is on the fifth floor of the building.（他的辦公室在大樓的五樓。）
oil,[ɔɪl],名詞,油 / 石油,Put some olive oil into the mixed vegetables.（在沙拉蔬菜中加入一些橄欖油。）
old,[old],形容詞,年老的 / 舊的,The old man lives in a beautiful wooden house.（那位老人住在一棟美麗的木屋裡。）
on,[ɑn],介系詞 / 副詞,在...之上 / 進行中,The key is resting on the kitchen table.（鑰匙正放在廚房桌上。）
only,[ˈonli],形容詞 / 副詞,只有 / 唯一的,He is the only student who passed the hard test.（他是唯一通過這場硬核測試的學生。）
open,[ˈopən],形容詞,開放的 / 打開的,Please keep the window open for fresh air.（請保持窗戶打開以引入新鮮空氣。）
operation,[ˌɑpəˈreʃən],名詞,操作 / 運作 / 手術,The smooth operation of the machine is important.（機器的順暢運作非常重要。）
opinion,[əˈpɪnjən],名詞,意見 / 看法,"In my opinion, honesty is the best policy.（依我看，誠實是最好的策略。）"
opposite,[ˈɑpəzɪt],形容詞 / 名詞,相反的 / 對面,They walked in the opposite direction of the station.（他們朝著車站的相反方向走去。）
or,[ɔr],連接詞,或者,Would you prefer hot tea or cold water?（你想要熱茶還是冷水？）
orange,[ˈɔrɪndʒ],名詞 / 形容詞,柳橙 / 橘色的,She ate a sweet orange after her breakfast.（她早餐後吃了一個甜柳橙。）
order,[ˈɔrdɚ],名詞,命令 / 訂單 / 順序,Put the historical records in alphabetical order.（將歷史記錄按字母順序排列。）
organization,[ˌɔrɡənəˈzeʃən],名詞,組織 / 機構,He works for an international trade organization.（他在一個國際貿易組織工作。）
ornament,[ˈɔrnəmənt],名詞,裝飾品,The glass ornament on the shelf is delicate.（架子上的玻璃裝飾品非常精緻。）
other,[ˈʌðɚ],形容詞 / 代名詞,其他的,I have no other choices but to agree.（除了同意外我別無選擇。）
out,[aʊt],介系詞 / 副詞,在外 / 向外,He walked out of the narrow street into the open field.（他走出狹窄的街道，來到開闊的田野。）
oven,[ˈʌvən],名詞,烤箱,Bake the bread in the hot oven for thirty minutes.（將麵包在熱烤箱中烘烤三十分鐘。）
over,[ˈovɚ],介系詞 / 副詞,在...之上 / 結束,The plane flew high over the high mountains.（飛機在高山之上高高飛過。）
owner,[ˈonɚ],名詞,所有者 / 物主,He is the proud owner of a new automatic car.（他是一輛新自動排檔車的驕傲車主。）
page,[pedʒ],名詞,頁面 / 頁碼,Please open your book to page eighty-five.（請將書翻到第 85 頁。）
pain,[pen],名詞,疼痛 / 痛苦,He felt a sudden sharp pain in his left arm.（他左臂突然感到一陣劇痛。）
paint,[pent],名詞,油漆 / 顏料,Use wet white paint to cover the old wall.（使用濕的白漆來覆蓋舊牆。）
paper,[ˈpepɚ],名詞,紙張 / 文件,Write your name on a clean sheet of white paper.（在一張乾淨的白紙上寫下你的名字。）
parallel,[ˈpærəlɛl],形容詞,平行的,Draw two parallel lines on the paper with a pencil.（用 pencil 在紙上畫兩條平行線。）
parcel,[ˈpɑrsl],名詞,包裹,The postman delivered a large parcel to our house.（郵差把一個大包裹送到了我們家。）
part,[pɑrt],名詞,部分 / 零件,This is the most interesting part of the history book.（這是這本歷史書中最有趣的部分。）
past,[pæst],名詞 / 介系詞 / 形容詞,過去 / 經過,"In the past, people used horse carriages to travel.（過去，人們乘坐馬車旅行。）"
paste,[pest],名詞,糊狀物 / 漿糊,Use strong flour paste to fix the paper box.（用強力的麵粉漿糊來固定紙箱。）
payment,[ˈpemənt],名詞,付款 / 款項,The bank received his payment for the loan.（銀行收到了他的貸款款項。）
peace,[pis],名詞,和平 / 平靜,We love the perfect peace of the countryside.（我們熱愛鄉間完美的寧靜。）
pen,[pɛn],名詞,鋼筆 / 原子筆,Please fill my black pen with some fresh ink.（請幫我的黑筆加點新鮮墨水。）
pencil,[ˈpɛnsl],名詞,鉛筆,Use a sharp pencil to draw a straight line.（用鋒利的鉛筆畫一條直線。）
person,[ˈpɝsn],名詞,人,He is a very honest person who always tells the truth.（ transition他是一個總是說真話的誠實人。）
physical,[ˈfɪzɪkəl],形容詞,身體的 / 物理的 / 物質的,Heavy strength training requires great physical force.（重量力量訓練需要巨大的身體力量。）
picture,[ˈpɪktʃɚ],名詞,圖片 / 照片 / 圖畫,She put her family picture in a wooden frame.（她把全家福相片放在木製相框裡。）
pig,[pɪɡ],名詞,豬,The farmer keeps a fat brown pig on his farm.（農夫在農場裡養了一隻肥胖的棕色豬。）
pin,[pɪn],名詞,大頭針 / 別針,Use a small metal pin to secure the papers.（使用一個小金屬別針來固定文件。）
pipe,[paɪp],名詞,管路 / 煙斗,The hygienic stainless steel pipe is completely clean.（這條衛生級不鏽鋼管路完全乾淨。）
place,[ples],名詞,地方 / 位置,The library is an excellent place for learning.（圖書館是學習的絕佳場所。）
plane,[plen],名詞,飛機 / 平面,The plane took off for Paris at eight o'clock.（飛機在八點鐘起飛前往巴黎。）
plant,[plænt],名詞,植物 / 工廠,Water the little green plant every morning.（每天早晨為這株綠色小植物澆水。）
plate,[plet],名詞,盤子 / 金屬板,Put the slices of bread on a clean white plate.（將麵包片放在乾淨的白盤子上。）
play,[ple],名詞 / 動詞的動作,遊戲 / 戲劇 / 玩耍,The children are at play in the garden.（孩子們正在花園裡玩耍。）
please,[pliz],副詞,請,Please give me a cup of warm water.（請給我一杯溫水。）
pleasure,[ˈplɛʒɚ],名詞,快樂 / 欣慰,It gives me great pleasure to meet you here.（能在這裡見到你，我感到非常高興。）
plough / plow,[plaʊ],名詞,犁,The old farmer used a heavy iron plough in the field.（老農夫在田裡使用一把沉重的鐵犁。）
pocket,[ˈpɑkɪt],名詞,口袋,He put his leather wallet into his coat pocket.（他把皮夾放進大衣口袋裡。）
point,[pɔɪnt],名詞,尖端 / 要點 / 點,Look at the sharp point of the needle.（看這根針尖銳的尖端。）
poison,[ˈpɔɪzn],名詞,毒藥 / 毒物,Keep that chemical poison away from children.（讓那種化學毒物遠離兒童。）
polish,[ˈpɑlɪʃ],名詞 / 動詞的動作,擦亮劑 / 光澤,Apply some shoe polish to keep your leather boots bright.（抹一些鞋油以保持皮靴光亮。）
political,[pəˈlɪtɪkəl],形容詞,政治的,He expressed an interest in world political history.（他對世界政治歷史表達了興趣。）
poor,[pʊr],形容詞,貧窮的 / 可憐的 / 差的,The distribution of food to the poor families started today.（向貧困家庭分發食物的工作今天開始了。）
porter,[ˈpɔrtɚ],名詞,搬運工 / 行李員,The porter helped the tired travelers carry their heavy bags.（搬運工幫助疲憊的旅客搬運沉重的行李。）
position,[pəˈzɪʃən],名詞,位置 / 職位,Check the mechanical position of the pump valve.（檢查泵浦閥門的機械位置。）
possible,[ˈpɑsəbl],形容詞,可能的,It is possible to complete the technical review today.（今天完成技術審查是有可能的。）
pot,[pɑt],名詞,罐 / 壺 / 鍋,She boiled some vegetables in a metal pot.（她在金屬鍋裡煮了一些蔬菜。）
potato,[pəˈteto],名詞,馬鈴薯,He baked a large potato in the hot oven.（他在熱烤箱裡烤了一個大馬鈴薯。）
powder,[ˈpaʊdɚ],名詞,粉末,Mix the white chemical powder with warm water.（將白色化學粉末與溫水混合。）
power,[ˈpaʊɚ],名詞,力量 / 電力 / 權力,The new engine has great mechanical power.（這台新引擎具有強大的機械動力。）
present,[ˈprɛznt],名詞 / 形容詞,禮物 / 現在的 / 出席的,He gave his wife a beautiful birthday present.（他給了他的妻子一份美麗的生日禮物。）
price,[praɪs],名詞,價格,There is a steady increase in the price of wheat.（小麥價格正在穩定上漲。）
print,[prɪnt],名詞 / 動詞的動作,印刷 / 印記,The small print in this document is hard to read.（這份文件中的小字體很難閱讀。）
prison,[ˈprɪzn],名詞,監獄,The man was sent to prison for his serious crime.（該男子因其嚴重的罪行被送往監獄。）
private,[ˈpraɪvɪt],形容詞,私人的 / 私密的,This is a private discussion about family matters.（這是關於家庭事務的私人討論。）
probable,[ˈprɑbəbl],形容詞,很可能的,Rain is the probable cause of the travel delay.（下雨很可能是行程延誤的原因。）
process,[ˈprɑsɛs],名詞,過程 / 製程,Qualification is a regular process for new systems.（資格驗證是新系統的常規流程。）
produce,[prəˈdus],名詞 / 動詞的動作,農產品 / 生產,The farm yields fresh produce like corn and apples.（該農場產出新鮮的農產品，如玉米和蘋果。）
profit,[ˈprɑfɪt],名詞,利潤 / 利益,Value investing focuses on long-term profit.（價值投資專注於長期利潤。）
property,[ˈprɑpɚti],名詞,財產 / 房產 / 特性,The land is the private property of the old farmer.（這片土地是老農夫的私人財產。）
prose,[proz],名詞,散文,He prefers writing clear prose to beautiful verse.（比起美麗的詩句，他更喜歡寫清晰的散文。）
protest,[ˈprotest],名詞 / 動詞的動作,抗議 / 反對,The committee made a strong protest against the rule.（委員會對該規則提出了強烈的抗議。）
public,[ˈpʌblɪk],形容詞 / 名詞,公共的 / 大眾,I go to the public library to read books on weekends.（我週末去公共圖書館讀書。）
pull,[pʊl],名詞 / 動詞的動作,拉 / 拖,Give a strong pull to the rope to open the stone gate.（用力拉一下繩子以打開石門。）
pump,[pʌmp],名詞,泵浦 / 抽水機,Check the drain port location under the hygienic pump.（檢查衛生級泵浦下方的排水口位置。）
punishment,[ˈpʌnɪʃmənt],名詞,懲罰,Severe punishment was given to the man for his crime.（該男子因其罪行受到了嚴厲的懲罰。）
purpose,[ˈpɝpəs],名詞,目的 / 意圖,What is the main purpose of your technical visit?（你這次技術拜訪的主要目的是什麼？）
push,[pʊʃ],名詞 / 動詞的動作,推,Give a gentle push to the door to close it tightly.（輕推一下門以將其關緊。）
put,[pʊt],動詞,放置 / 表達,Please put the important records into the drawer.（請將重要記錄放進抽屜裡。基本英語 18 個核心動詞之一。）
quality,[ˈkwɑləti],名詞,品質 / 特質,We always check the quality of the medical product.（我們總是檢查醫療產品的品質。）
question,[ˈkwɛstʃən],名詞,問題 / 疑問,"If you have any question, please ask the guide.（如果你有任何問題，請詢問導遊。）"
quick,[kwɪk],形容詞,快速的,He made a quick decision to change his travel plan.（他快速做出決定，改變了他的旅行計劃。）
quiet,[ˈkwaɪət],形容詞,安靜的,Please keep quiet while the baby is sleeping.（寶寶睡覺時請保持安靜。）
quite,[kwaɪt],副詞,相當 / 完全,The technical review today is quite complete.（今天的技術審查相當完整。）
rail,[rel],名詞,鐵軌 / 欄杆,The train runs smoothly along the steel rail.（火車沿著鋼軌平穩行駛。）
rain,[ren],名詞,雨 / 下雨,The heavy rain covered the fields with water.（大雨讓田地裡都積滿了水。）
range,[rendʒ],名詞,範圍 / 山脈,This instrument has a wide range of measurement.（這台儀器有很寬的測量範圍。）
rat,[ræt],名詞,老鼠（體型較大者）,The brown dog barked when it saw a rat.（棕色狗看到老鼠時叫了起來。）
rate,[ret],名詞,比率 / 速率,The rate of growth for the market is very steady.（該市場的增長率非常穩定。）
ray,[re],名詞,光線 / 射線,A warm ray of sun came through the window.（一束溫暖的陽光透過窗戶照了進來。）
reaction,[riˈækʃən],名詞,反應,Scientists observed the chemical reaction in the pot.（科學家觀察了鍋中的化學反應。）
reading,[ˈridɪŋ],名詞,閱讀 / 讀數,Check the temperature reading on the clock display.（檢查時鐘顯示屏上的溫度讀數。）
ready,[ˈrɛdi],形容詞,準備好的,I am ready to complete the validation protocol.（我已經準備好完成驗證協議了。）
reason,[ˈrizn],名詞,原因 / 理智,Tell me the main reason for your late arrival.（告訴我你遲到的主要原因。）
receipt,[rɪˈsit],名詞,收據 / 收到,Please give me a written receipt for my payment.（請給我一份我的付款書面收據。）
record,[ˈrɛkɚd],名詞,紀錄 / 唱片,Keep a clear record of the external balance test.（對外部天平測試保持清晰的記錄。）
red,[rɛd],形容詞 / 名詞,紅色的 / 紅色,She wore a beautiful red dress to the meeting.（她穿著一件美麗的紅連身裙出席會議。）
regret,[rɪˈɡrɛt],名詞,後悔 / 遺憾,He expressed deep regret for his foolish action.（ transition他對自己愚蠢的行為表達了深切的遺憾。）
regular,[ˈrɛɡjəlɚ],形容詞,定期的 / 常規的 / 規則的,Regular exercise keeps your body healthy and strong.（規律運動能保持身體健康強壯。）
relation,[rɪˈleʃən],名詞,關係,There is a direct relation between heat and growth.（熱與生長之間有直接的關係。）
religion,[rɪˈlɪdʒən],名詞,宗教,Every nation has its own history and religion.（每個國家都有其獨特的歷史與宗教。）
representative,[ˌrɛprɪˈzɛntətɪv],名詞 / 形容詞,代表 / 具代表性的,The trade representative signed the final agreement.（貿易代表簽署了最終協議。）
request,[rɪˈkwɛst],名詞,請求 / 要求,The manager approved my request for a new machine.（經理批准了我購買新機器的請求。）
respect,[rɪˈspɛkt],名詞,尊重 / 敬意,Children should show respect to their older brother.（孩子們應該對他們的哥哥展現尊重。）
responsible,[rɪˈspɑnsəbl],形容詞,負責任的,The supervisor is responsible for safety here.（主管負責這裡的安全。）
rest,[rɛst],名詞,休息 / 剩餘部分,A warm bath will give great rest to your body.（洗個熱水澡會讓你的身體得到很好的休息。）
reward,[rɪˈwɔrd],名詞,獎勵 / 報酬,He received a small money reward for his help.（他因為提供幫助而獲得了一筆小額的金錢獎勵。）
rhythm,[ˈrɪðəm],名詞,節奏 / 韻律,The happy children danced to the rhythm of the music.（快樂的孩子們隨著音樂的節奏跳舞。）
rice,[raɪs],名詞,稻米 / 米飯,Rice is the chief food in many Asian countries.（米飯是許多亞洲國家的主要食物。）
right,[raɪt],形容詞 / 副詞 / 名詞,正確的 / 右邊的 / 權利,Is this the right way to the public library?（這是去公共圖書館正確的路嗎？）
ring,[rɪŋ],名詞,戒指 / 圓圈 / 鈴聲,She wears a pure gold ring on her finger.（她手指上戴著一枚純金戒指。）
river,[ˈrɪvɚ],名詞,河流,We took a small boat across the mountain river.（我們搭乘了一艘小船渡過山間河流。）
road,[rod],名詞,道路 / 馬路,Walk along this straight road to find the station.（沿著這條筆直的道路走就能找到車站。）
rod,[rɑd],名詞,桿 / 棒,The thin iron rod is bent and cannot be used.（那根細鐵桿彎曲了，無法使用。）
roll,[rol],名詞 / 動詞的動作,捲 / 滾動 / 麵包捲,He bought a fresh roll of bread for lunch.（他買了一個新鮮的麵包捲當午餐。）
roof,[ruf],名詞,屋頂,The heavy storm caused severe damage to the roof.（暴風雨對屋頂造成了嚴重的損害。）
room,[rum],名詞,房間 / 空間,There is enough room for a big bed in this house.（這棟房子裡有足夠的空間放一張大床。）
root,[rut],名詞,根 / 根源,The root of the big tree goes deep into the earth.（大樹的根深扎入泥土中。）
rough,[rʌf],形容詞,粗糙的 / 粗暴的 / 艱難的,The skin on his hands became rough from hard work.（他的手部皮膚因辛苦工作而變得粗糙。）
round,[raʊnd],形容詞,圓的,"The earth looks flat, but it is actually round.（大地看起來是平的，但實際上是圓的。）"
rub,[rʌb],名詞 / 動詞的動作,摩擦 / 搓抹,Give a gentle rub to your skin with the cloth.（用布輕輕摩擦擦拭你的皮膚。）
rule,[rul],名詞,規則 / 規定,Everyone must obey the safety rule of the plant.（每個人都必須遵守工廠的安全規定。）
run,[rʌn],名詞 / 動詞的動作,跑步 / 運行,He goes for a short run early every morning.（他每天清晨都會去短跑散步一下。）
sad,[sæd],形容詞,悲傷的,The news of the old leader's death made us sad.（老領袖逝世的消息讓我們很悲傷。）
safe,[sef],形容詞,安全的,Keep your important technical documents in a safe place.（將你重要的技術文件存放在安全的地方。）
sail,[sel],名詞,船帆 / 航行,The strong wind gave a powerful blow to the sail.（強風對船帆產生了強大的吹力。）
salt,[sɔlt],名詞,鹽,Please put a little salt into the boiling soup.（請在沸騰的湯裡加一點鹽。）
same,[sem],形容詞,相同的,He gave the same answer as his older brother.（他給出了與他哥哥相同的答案。）
sand,[sænd],名詞,沙子,The children are playing on the warm sand near the sea.（孩子們正在海邊溫暖的沙灘上玩耍。）
say,[se],動詞,說,Please say what you think about the new plan.（請說說你對新計劃的想法。基本英語 18 個核心動詞之一。）
scale,[skel],名詞,天平 / 秤 / 比例,Use the external balance scale to measure the mass.（使用外部天平秤來測量質量。）
school,[skul],名詞,學校,The little boy goes to the high school near our house.（小男孩去我們家附近的中學上學。）
science,[ˈsaɪəns],名詞,科學,Modern science helps us understand the natural world.（現代科學幫助我們了解自然世界。）
scissors,[ˈsɪzɚz],名詞,剪刀,Use these sharp scissors to cut the thick paper.（用這把鋒利的剪刀來剪厚紙。）
screw,[skru],名詞,螺絲,The screw on the machine handle is loose.（機器手把上的螺絲鬆了。）
sea,[si],名詞,海洋,Taiwan is a beautiful island surrounded by the sea.（台灣是一個被海洋圍繞的美麗島嶼。）
seat,[sit],名詞,座位,Please go back to your seat before the meeting starts.（會議開始前請回到你的座位上。）
second,[ˈsɛkənd],形容詞 / 名詞,第二的 / 秒,This is the second time I have visited Paris.（這是我第二趟造訪巴黎。）
secret,[ˈsikrɪt],名詞 / 形容詞,秘密 / 秘密的,Keep this private information a secret.（請對這份私人資訊保持秘密。）
secretary,[ˈsɛkrəˌtɛri],名詞,秘書,The secretary wrote down every detail of the discussion.（秘書記下了討論的每一個細節。）
see,[si],動詞,看見 / 明白,I can see a small bird singing on the tree branch.（我看見一隻小鳥在樹枝上唱歌。基本英語 18 個核心動詞之一。）
seed,[sid],名詞,種子,The farmer put the vegetable seeds into the fertile soil.（農夫將蔬菜種子播入肥沃的土地中。）
selection,[səˈlɛkʃən],名詞,選擇 / 挑選,The library has a great selection of history books.（這家圖書館有豐富的歷史書籍可供選擇。）
self,[sɛlf],名詞,自身 / 自己,He wrote a short note to remind his own self.（他寫了一張短便條來提醒他自己。）
send,[sɛnd],動詞,發送 / 寄送,Please send the final validation record to the manager.（請將最終驗證紀錄寄給經理。基本英語 18 個核心動詞之一。）
seem,[sim],動詞,似乎 / 好像,The technical rules seem complex but are quite simple.（這些技術規則似乎很複雜，但其實相當簡單。基本英語 18 個核心動詞之一。）
sense,[sɛns],名詞,感官 / 感覺 / 理智,Good drivers have a keen sense of danger.（優秀的駕駛對危險有敏銳的感覺。）
separate,[ˈsɛpərɪt],形容詞,分開的 / 個別的,Keep the chemical waste in a separate pot.（將化學廢棄物存放在分開的罐子裡。）
serious,[ˈsɪrɪəs],形容詞,嚴重的 / 認真的,Stealing other people's money is a serious crime.（偷竊別人的錢是一項嚴重的罪行。）
servant,[ˈsɝvənt],名詞,僕人 / 傭人,The rich family employs a servant to clean the house.（這戶富有的人家雇用了一名僕人來打掃房子。）
sex,[sɛks],名詞,性別,"Please write your name, age, and sex on the form.（請在表格上寫下您的姓名、年齡和性別。）"
shade,[ʃed],名詞,陰涼處 / 遮光物,We sat in the shade of the big tree to rest.（我們坐在大樹的陰涼處休息。）
shake,[ʃek],名詞 / 動詞的動作,搖動 / 握手,They gave a friendly shake of hands after the agreement.（達成協議後，他們友好地握了握手。）
shame,[ʃem],名詞,羞恥 / 遺憾,It is a shame that you cannot come to the party.（你不能來參加聚會真是太遺憾了。）
sharp,[ʃɑrp],形容詞,尖銳的 / 鋒利的,The knife has a very sharp steel blade.（這把刀有一個非常鋒利的鋼刀刃。）
sheep,[ʃip],名詞,綿羊,The farmer has a group of white sheep on the hill.（農夫在山上養了一群白綿羊。）
shelf,[ʃɛlf],名詞,架子 / 書架,Put the old history books back on the top shelf.（將舊歷史書放回最上面的書架上。）
ship,[ʃɪp],名詞,船隻（大型）,A large cargo ship arrived at the harbor today.（一艘大型貨輪今天抵達了港口。）
shirt,[ʃɝt],名詞,襯衫,He wore a clean blue shirt to the office.（他穿著一件乾淨的藍襯衫去辦公室。）
shock,[ʃɑk],名詞,震驚 / 衝擊,The sudden news of the fire gave us a great shock.（火災的突發消息給了我們巨大的震驚。）
shoe,[ʃu],名詞,鞋子,Use this small brush to clean your dirty shoes.（用這把小刷子來清理你髒掉的鞋子。）
short,[ʃɔrt],形容詞,短的 / 矮的,I usually go for a short walk after lunch.（我午餐後通常會去短暫散步一下。）
shut,[ʃʌt],形容詞,關閉的,Please keep the door shut to block the cold wind.（請保持門關閉以阻擋冷風。）
side,[saɪd],名詞,側面 / 一邊,Walk along the left side of the straight road.（沿著這條筆直道路的左側行走。）
sign,[saɪn],名詞,標誌 / 告示 / 跡象,The traffic sign warned the drivers of danger ahead.（交通標誌警告駕駛人前方有危險。）
silk,[sɪlk],名詞 / 形容詞,絲綢 / 絲製的,Her beautiful red dress is made of pure silk.（她美麗的紅連身裙是由純絲綢製成的。）
silver,[ˈsɪlvɚ],名詞 / 形容詞,白銀 / 銀製的,The old drawer handle is made of solid silver.（舊抽屜把手是由實銀製成的。）
simple,[ˈsɪmpl],形容詞,簡單的,I really like the simple design of this house.（我非常喜歡這棟房子簡單的設計。）
sister,[ˈsɪstɚ],名詞,姊妹,My younger sister goes to the high school nearby.（我的妹妹在附近的中學上學。）
size,[saɪz],名詞,尺寸 / 大小,Check the size of the pipe before connection.（在連接前請檢查管路的尺寸。）
skin,[skɪn],名詞,皮膚,The sun made the skin on his face turn red.（陽光讓他臉上的皮膚變紅了。）
skirt,[skɝt],名詞,裙子,She wore a short brown skirt to the market.（她穿著一條棕色短裙去市場。）
sky,[skaɪ],名詞,天空,The sky is completely clear and blue today.（今天的太空完全晴朗蔚藍。）
sleep,[slip],名詞 / 動詞的動作,睡眠,A good night's sleep is necessary for health.（充足的夜間睡眠對健康是必要的。）
slip,[slɪp],名詞 / 動詞的動作,滑倒 / 紙條,He had a sudden slip on the wet kitchen floor.（他在濕滑的廚房地板上突然滑了一下。）
slope,[slop],名詞,斜坡 / 坡度,The green grass grows smoothly on the mountain slope.（綠草在山坡上順暢地生長。）
slow,[slo],形容詞,緩慢的,The old train made a slow journey through the hills.（老火車緩慢地穿行在山丘間。）
small,[smɔl],形容詞,小的,An ant is a small and hard-working insect.（螞蟻是一種弱小且勤勞的昆蟲。）
smash,[smæʃ],名詞 / 動詞的動作,破碎 / 猛撞,We heard the loud smash of a broken glass cup.（我們聽到玻璃杯摔碎的巨大聲響。）
smell,[smɛl],名詞 / 動詞的動作,氣味 / 聞,The sweet smell of fresh bread filled the room.（新鮮麵包的甜美氣味充滿了房間。）
smile,[smaɪl],名詞 / 動詞的動作,微笑,She had a big smile on her face when she saw me.（她見到我時臉上帶著燦爛的微笑。）
smoke,[smok],名詞,煙雾 / 煙,Dark smoke came out of the factory building.（黑煙從工廠大樓裡飄了出來。）
smooth,[smuð],形容詞,平滑的 / 順暢的,The automatic pump keeps a smooth operation.（自動泵浦保持著順暢的運作。）
snake,[snek],名詞,蛇,A long green snake crawled across the field.（一條綠色長蛇爬過了田地。）
sneeze,[sniz],名詞 / 動詞的動作,打噴嚏,His loud sneeze made the baby wake up.（他響亮的噴嚏聲把寶寶吵醒了。）
snow,[sno],名詞,雪,A sudden fall of snow covered the high mountains.（突降的大雪覆蓋了高山。）
so,[so],副詞 / 連接詞,如此 / 所以 / 因此,"It was raining heavily, so we stayed at home.（當時正下著大雨，所以我們待在家裡。）"
soap,[sop],名詞,肥皂,Wash your dirty hands with clean water and soap.（用乾淨的水和肥皂清洗你弄髒的手。）
society,[səˈsaɪəti],名詞,社會 / 協會,Every member of society must obey the law.（社會的每個成員都必須遵守法律。）
sock,[sɑk],名詞,短襪,He put on his warm wool socks before going out.（他在出門前穿上了溫暖的羊毛襪。）
soft,[sɔft],形容詞,柔軟的,Place a soft cushion on the hard wooden chair.（在硬木椅上放一個柔軟的靠墊。）
solid,[ˈsɑlɪd],形容詞 / 名詞,固體的 / 實心的 / 堅固的,The strong bridge is built of solid iron.（那座堅固的橋樑是由實鐵建造的。）
some,[sʌm],形容詞 / 代名詞,一些 / 某些,Please get some fresh water from the kitchen.（請去廚房拿一些新鮮的水。）
son,[sʌn],名詞,兒子,They have one younger daughter and an older son.（他們有一個較小的女兒和一个哥哥兒子。）
song,[sɔŋ],名詞,歌曲,The little girl sang a beautiful song for us.（小女孩為我們唱了一首美麗的歌曲。）
sort,[sɔrt],名詞,種類,What sort of material is used for this pipe?（這種管路使用的是哪一種材料？）
sound,[saʊnd],名詞 / 形容詞,聲音 / 健康的 / 完好的,We heard the loud sound of the school bell.（我們聽到了學校鐘聲的巨響。）
south,[saʊθ],名詞 / 形容詞 / 副詞,南方 / 向南的,The birds fly to the south during the winter.（鳥類在冬天飛往南方。）
soup,[sup],名詞,湯,She made a hot vegetable soup for dinner.（她做了一碗熱蔬菜湯當晚餐。）
space,[spes],名詞,空間 / 太空,There is enough space for a big desk in my office.（我的辦公室裡有足夠的空間放一張大書桌。）
spade,[sped],名詞,鏟子 / 鐵鍬,Use a steel spade to dig a hole in the garden.（用一把鋼鏟在花園裡挖一個洞。）
special,[ˈspɛʃəl],形容詞,特別的 / 專門的,This instrument needs special care during use.（這台儀器在使用過程中需要特別的照顧。）
sponge,[spʌndʒ],名詞,海綿,Use a wet sponge to wipe the kitchen table.（用一塊濕海綿來擦拭廚房桌子。）
spoon,[spun],名詞,湯匙,Eat your hot soup with a small metal spoon.（用一把小金屬湯匙喝你的熱湯。）
spring,[sprɪŋ],名詞,春天 / 彈簧 / 泉水,The leaves of the trees turn green in spring.（樹葉在春天變成綠色。）
square,[skwɛr],形容詞 / 名詞,正方形的 / 廣場,Draw a perfect square on the paper with a pencil.（用鉛筆在紙上畫一個完美的正方形。）
stamp,[stæmp],名詞,郵票 / 印章,Put a postal stamp on the cover of the letter.（在信封封面貼上一張郵票。）
stage,[stedʒ],名詞,舞台 / 階段,Qualification is the final stage of the project.（資格驗證是專案的最終階段。）
star,[stɑr],名詞,星星,The sky was full of bright stars last night.（昨晚的天空布滿了明亮的星星。）
start,[stɑrt],名詞 / 動詞的動作,開始 / 出發,The important meeting will make a start at ten.（重要會議將在十點鐘開始。）
statement,[ˈstetmənt],名詞,陳述 / 聲明,Please check if this technical statement is true.（請檢查這項技術陳述是否正確。）
station,[ˈsteʃən],名詞,車站 / 局 / 所,Meet me at the train station tomorrow noon.（明天中午在火車見面。）
steam,[stim],名詞,蒸汽,Hot steam came out of the boiling kettle.（熱蒸汽從沸騰的水壺裡冒了出來。）
stem,[stɛm],名詞,莖 / 幹,The red flower has a long green stem.（紅花有一個長長的綠色花莖。）
